"Recruiting
Profile",,Player,Games,Time,Events,EFG%,Pts.,Opps.,Ast,TO,TO%,Reb,OReb,DReb,Reb%,Fouls,Team Pts.,Team Pts. Allowed,#ERROR!,Off. PPP,Def. PPP,Net PPP,VPS,2 Pt Fouls,2Pt,2Pt A,2Pt Fouled,2Pt miss,2Pt Rate,2Pt%,3 Pt Fouls,3Pt,3Pt A,3Pt Fouled,3Pt miss,3Pt Rate,3Pt%,And-1 Fouls,Ast%,ATR %,ATR Att.,ATR Fouled,ATR Made,ATR Rate,ATR/A,Blk,Blk%,Blk/Foul,Blkd,Chrg,Cut,Def Foul,Def. 2Pt%,Def. 3Pt%,Def. Poss.,Def. Rtg,Def. TO,Def. TO%,Deflect,FT,FT A,FT miss,FT Trips,FT Violation,FT%,FTF,Games,LB Foul,Long Mid %,Long Mid Att.,Long Mid Fouled,Long Mid Made,Long Mid Rate,Long Mid/A,Lost Tie Up,MPG,NS Fouls,NS Fouls (Bonus),Off Foul,Off. Pace,Off. Poss.,Off. Rtg,Opp DRebs,Opp ORebs,Pace,Poss.,PPG,Short Mid %,Short Mid Att.,Short Mid Fouled,Short Mid Made,Short Mid Rate,Short Mid/A,Shots,Stl,Stl%,Stl/Foul,Tech Foul,Tie Up,TS%,Usage %
,,"#1 Juan Guerrero Hernandez
Veritas Academy",4,2:00:40,0,67.00%,84,62,6,5,7.50%,20,3,17,9.20%,7,222,197,25,1.05,0.92,0.13,1.71,0,18,31,4,13,55.40%,58.10%,0,13,25,0,12,44.60%,52.00%,0,-,-,0,0,0,0.00%,0,1,0.50%,-,0,0,0,7,-,-,215,91.6,40,15.20%,4,9,11,2,6,0,81.80%,0.2,4,0,-,0,0,0,0.00%,0,0,30:10:00,0,0,0,0,212,104.7,0,0,0,0,21,-,0,0,0,0.00%,0,56,6,2.80%,-,0,1,69.00%,27.80%
,,"#1 Tate Takamiya
Punahou School",4,45:25:00,0,39.30%,14,17,4,8,32.00%,10,2,8,13.00%,2,67,62,5,0.84,0.81,0.03,0.98,0,4,8,2,4,57.10%,50.00%,0,1,6,0,5,42.90%,16.70%,0,-,-,0,0,0,0.00%,0,1,1.40%,-,0,0,0,2,-,-,77,80.5,16,16.50%,3,3,6,3,3,0,50.00%,0.43,4,0,-,0,0,0,0.00%,0,0,11:21,0,0,0,0,80,83.8,0,0,0,0,3.5,-,0,0,0,0.00%,0,14,3,3.90%,-,0,0,42.10%,28.90%
,,"#1 Lawrence Brown
St. Paul VI Catholic High School",4,1:33:57,0,50.00%,34,31,6,6,16.20%,8,4,4,4.90%,4,178,168,10,1.07,1.02,0.05,1.25,0,7,15,1,8,57.70%,46.70%,0,4,11,0,7,42.30%,36.40%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,4,-,-,164,102.4,38,19.70%,4,8,9,1,5,0,88.90%,0.35,4,0,-,0,0,0,0.00%,0,0,23:29,0,0,0,0,166,107.2,0,0,0,0,8.5,-,0,0,0,0.00%,0,26,5,3.00%,-,0,0,56.70%,21.60%
,,"#1 Darien Moore
Brewster",4,1:18:16,0,44.60%,29,31,8,4,11.40%,9,3,6,7.20%,6,157,92,65,1.15,0.68,0.47,1.37,0,8,18,1,10,64.30%,44.40%,0,3,10,1,7,35.70%,30.00%,0,-,-,0,0,0,0.00%,0,3,3.10%,-,0,0,0,5,-,-,135,68.1,41,27.90%,10,4,7,3,3,0,57.10%,0.25,4,0,-,0,0,0,0.00%,0,0,19:34,0,0,1,0,136,115.4,0,0,0,0,7.2,-,0,0,0,0.00%,0,28,9,6.70%,-,0,2,46.70%,25.70%
,,"#1 DeMarco Johnson
Oak Hill Academy",4,1:55:22,0,38.10%,18,23,17,10,30.30%,14,3,11,6.90%,3,252,211,41,1.17,0.99,0.18,1.32,0,5,15,2,10,71.40%,33.30%,0,2,6,0,4,28.60%,33.30%,0,-,-,0,0,0,0.00%,0,1,0.50%,-,0,0,0,3,-,-,214,98.6,48,18.50%,4,2,4,2,2,0,50.00%,0.19,4,0,-,0,0,0,0.00%,0,0,28:50:00,0,0,0,0,216,116.7,0,0,0,0,4.5,-,0,0,0,0.00%,0,21,3,1.40%,-,0,0,39.50%,13.40%
,,"#1 John Ibe
Kapa‘a High School",2,13:37,0,-,0,0,1,0,-,2,1,1,8.70%,1,10,38,-28,0.37,1.46,-1.09,3,0,0,0,0,0,-,-,0,0,0,0,0,-,-,0,-,-,0,0,0,-,0,0,0.00%,-,0,0,0,1,-,-,26,146.2,2,7.10%,0,0,0,0,0,0,-,-,2,0,-,0,0,0,-,0,0,6:48,0,0,0,0,27,37,0,0,0,0,0,-,0,0,0,-,0,0,1,3.80%,-,0,0,-,0.00%
,,"#1 Kota Suttle, Jr.
Wheeler High School (GA)",4,1:40:10,0,56.10%,44,39,8,5,11.40%,10,4,6,5.40%,11,209,180,29,1.09,0.94,0.16,1.28,0,17,30,5,13,90.90%,56.70%,0,1,3,0,2,9.10%,33.30%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,10,-,-,192,93.8,48,20.30%,10,7,12,5,6,0,58.30%,0.36,4,1,-,0,0,0,0.00%,0,0,25:02:00,0,0,0,0,191,109.4,0,0,0,0,11,-,0,0,0,0.00%,0,33,8,4.20%,-,0,0,57.50%,21.00%
,,"#1 Anthony Felesi
Utah Prep",4,1:37:46,0,71.40%,47,33,5,4,10.80%,14,4,10,9.30%,10,226,122,104,1.37,0.76,0.61,1.78,0,14,17,3,3,60.70%,82.40%,0,4,11,0,7,39.30%,36.40%,0,-,-,0,0,0,0.00%,0,1,0.70%,-,0,0,0,8,-,-,161,75.8,40,20.60%,5,7,9,2,5,0,77.80%,0.32,4,2,-,0,0,0,0.00%,0,0,24:26:00,0,0,0,0,165,137,0,0,0,0,11.8,-,0,0,0,0.00%,0,28,8,5.00%,-,0,0,73.50%,21.60%
,,"#1 RJ Smith
Imhotep Institute Charter High S",4,1:45:51,0,55.60%,56,50,14,13,20.60%,13,4,9,6.70%,7,225,210,15,1.01,0.96,0.05,1.28,0,10,20,1,10,44.40%,50.00%,0,10,25,0,15,55.60%,40.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,7,-,-,219,95.9,62,24.90%,18,6,9,3,5,0,66.70%,0.2,4,0,-,0,0,0,0.00%,0,0,26:27:00,0,0,0,0,223,100.9,0,0,0,0,14,-,0,0,0,0.00%,0,45,11,5.00%,-,0,0,57.20%,27.30%
,,"#1 
University Laboratory School",1,1:15,0,-,0,0,0,1,100.00%,0,0,0,0.00%,0,0,3,-3,0,1,-1,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,0,-,-,0,0,0,-,0,0,0.00%,-,0,0,0,0,-,-,3,100,0,0.00%,0,0,0,0,0,0,-,-,1,0,-,0,0,0,-,0,0,1:15,0,0,0,0,3,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0.00%,-,0,0,-,33.30%
,,"#2 Carnell Henderson
Imhotep Institute Charter High S",4,1:39:48,0,46.20%,44,46,15,7,13.20%,25,10,15,12.40%,12,197,200,-3,0.94,0.99,-0.05,1.37,0,11,24,4,13,60.00%,45.80%,0,5,16,0,11,40.00%,31.20%,0,-,-,0,0,0,0.00%,0,4,2.60%,-,0,1,0,11,-,-,203,98.5,53,23.00%,5,7,12,5,6,0,58.30%,0.3,4,1,-,0,0,0,0.00%,0,0,24:57:00,0,0,0,0,210,93.8,0,0,0,0,11,-,0,0,0,0.00%,0,40,8,3.90%,-,0,0,48.60%,25.70%
,,"#2 Koltrane Omo
Kamehameha Schools Kapalama",3,16:37,0,25.00%,4,8,2,0,0.00%,5,2,3,15.20%,2,39,12,27,1.22,0.38,0.84,0.94,0,2,5,0,3,62.50%,40.00%,0,0,3,0,3,37.50%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,2,-,-,32,37.5,12,32.40%,0,0,0,0,0,0,-,0,3,0,-,0,0,0,0.00%,0,0,5:32,0,0,0,0,32,121.9,0,0,0,0,1.3,-,0,0,0,0.00%,0,8,1,3.10%,-,0,0,25.00%,21.60%
,,"#2 Kevin Wu
Kalani High School",3,1:21:16,0,25.00%,8,21,4,4,16.00%,34,12,22,19.50%,6,77,167,-90,0.48,1.05,-0.57,1.17,0,4,16,4,12,100.00%,25.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,4,2.50%,-,0,0,0,5,-,-,159,105,23,11.90%,2,0,9,9,5,0,0.00%,0.56,3,1,-,0,0,0,0.00%,0,1,27:05:00,0,0,0,0,161,47.8,0,0,0,0,2.7,-,0,0,0,0.00%,0,16,2,1.30%,-,0,0,20.00%,16.10%
,,"#2 Mystique Akina-Watson
Kahuku High School",3,1:20:48,0,36.20%,27,33,11,11,25.00%,11,2,9,9.10%,6,137,200,-63,0.91,1.32,-0.4,0.86,0,9,20,2,11,69.00%,45.00%,0,1,9,0,8,31.00%,11.10%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,5,-,-,152,131.6,29,16.00%,3,6,8,2,4,0,75.00%,0.28,3,1,-,0,0,0,0.00%,0,0,26:56:00,0,0,0,0,150,91.3,0,0,0,0,9,-,0,0,0,0.00%,0,29,2,1.30%,-,0,0,41.50%,26.50%
,,"#2 Aaron Benefo
Leilehua",4,39:12:00,0,62.50%,11,9,0,5,35.70%,7,0,7,8.50%,2,50,84,-34,0.65,1.06,-0.41,0.9,0,5,8,0,3,100.00%,62.50%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,2,-,-,79,106.3,12,12.40%,1,1,1,0,1,0,100.00%,0.12,4,0,-,0,0,0,0.00%,0,0,9:48,0,0,0,0,77,64.9,0,0,0,0,2.8,-,0,0,0,0.00%,0,8,0,0.00%,-,0,0,65.20%,15.50%
,,"#2 Houston Hosoda
Punahou School",2,15:25,0,50.00%,6,6,1,0,0.00%,3,0,3,8.80%,0,28,16,12,0.9,0.52,0.39,1.88,0,0,0,0,0,0.00%,-,0,2,6,0,4,100.00%,33.30%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,0,-,-,31,51.6,4,11.40%,0,0,0,0,0,0,-,0,2,0,-,0,0,0,0.00%,0,0,7:42,0,0,0,0,31,90.3,0,0,0,0,3,-,0,0,0,0.00%,0,6,2,6.50%,-,0,0,50.00%,17.10%
,,"#2 Kevin Savage III
Wheeler High School (GA)",3,59:20:00,0,56.50%,32,27,6,3,10.00%,1,0,1,0.80%,6,142,97,45,1.16,0.8,0.37,1.11,0,4,8,3,4,34.80%,50.00%,0,6,15,0,9,65.20%,40.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,4,-,-,122,79.5,33,22.10%,7,6,8,2,4,0,75.00%,0.35,3,0,-,0,0,0,0.00%,0,0,19:46,0,0,0,0,122,116.4,0,0,0,0,10.7,-,0,0,0,0.00%,0,23,3,2.50%,-,2,0,60.30%,22.50%
,,"#2 Troy Tomlin
St. Paul VI Catholic High School",3,42:40:00,0,46.20%,13,15,4,1,6.20%,4,1,3,5.60%,4,97,64,33,1.29,0.83,0.46,1.28,0,3,7,2,4,53.80%,42.90%,0,2,6,0,4,46.20%,33.30%,0,-,-,0,0,0,0.00%,0,2,3.30%,-,0,1,0,4,-,-,77,83.1,18,20.70%,3,1,4,3,2,0,25.00%,0.31,3,0,-,0,0,0,0.00%,0,0,14:13,0,0,0,0,75,129.3,0,0,0,0,4.3,-,0,0,0,0.00%,0,13,3,3.90%,-,0,1,44.00%,19.80%
,,"#2 Ebuka Okorie
Brewster",4,1:43:12,0,44.60%,40,41,15,4,8.90%,15,1,14,8.70%,2,204,129,75,1.13,0.73,0.4,1.7,0,12,22,1,10,59.50%,54.50%,0,3,15,0,12,40.50%,20.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,2,-,-,177,72.9,46,23.70%,4,7,7,0,4,0,100.00%,0.19,4,0,-,0,0,0,0.00%,0,0,25:48:00,0,0,0,0,180,113.3,0,0,0,0,10,-,0,0,0,0.00%,0,37,5,2.80%,-,0,0,49.90%,25.00%
,,"#2 Jayden Cecil
Utah Prep",2,26:19:00,0,107.10%,15,7,2,1,12.50%,4,3,1,8.90%,1,79,37,42,1.8,0.88,0.91,4.83,0,3,3,0,0,42.90%,100.00%,0,3,4,0,1,57.10%,75.00%,0,-,-,0,0,0,0.00%,0,2,4.30%,-,0,0,0,1,-,-,42,88.1,8,14.30%,0,0,0,0,0,0,-,0,2,0,-,0,0,0,0.00%,0,0,13:09,0,0,0,0,44,179.5,0,0,0,0,7.5,-,0,0,0,0.00%,0,7,1,2.40%,-,0,0,107.10%,14.30%
,,"#2 Deondrea Lindsey
Oak Hill Academy",4,1:52:31,0,39.20%,44,49,3,4,7.50%,25,10,15,12.80%,8,246,201,45,1.19,0.96,0.24,1.22,0,13,22,8,9,59.50%,59.10%,0,1,15,0,14,40.50%,6.70%,0,-,-,0,0,0,0.00%,0,4,2.30%,-,0,0,0,7,-,-,210,95.7,52,20.60%,3,15,21,6,12,0,71.40%,0.57,4,1,-,0,0,0,0.00%,0,0,28:07:00,0,0,0,0,206,119.4,0,0,0,0,11,-,0,0,0,0.00%,0,37,5,2.40%,-,0,0,47.60%,25.50%
,,"#2 Luke Rivera
University Laboratory School",2,5:40,0,100.00%,2,1,0,1,50.00%,0,0,0,0.00%,1,8,15,-7,0.53,1.15,-0.62,0.5,0,1,1,0,0,100.00%,100.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,0,-,-,13,115.4,1,6.70%,0,0,0,0,0,0,-,0,2,1,-,0,0,0,0.00%,0,0,2:50,0,0,0,0,15,53.3,0,0,0,0,1,-,0,0,0,0.00%,0,1,0,0.00%,-,0,0,100.00%,13.30%
,,"#2 Zion Paleo
Veritas Academy",4,43:20:00,0,0.00%,4,8,8,8,50.00%,3,0,3,3.70%,4,74,69,5,0.85,0.81,0.04,0.64,0,0,3,0,3,50.00%,0.00%,0,0,3,0,3,50.00%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,3,-,-,85,81.2,17,17.00%,3,4,4,0,2,0,100.00%,0.67,4,0,-,0,0,0,0.00%,0,0,10:50,0,0,1,0,87,85.1,0,0,0,0,1,-,0,0,0,0.00%,0,6,0,0.00%,-,0,0,25.80%,18.00%
,,"#3 Ethan Chung
Punahou School",4,1:27:48,0,50.00%,46,46,5,1,2.10%,4,1,3,2.50%,8,169,157,12,1.04,0.96,0.09,0.86,0,5,11,2,6,25.60%,45.50%,0,11,32,0,21,74.40%,34.40%,0,-,-,0,0,0,0.00%,0,1,0.70%,-,0,0,0,7,-,-,164,95.7,37,18.70%,1,3,5,2,3,0,60.00%,0.12,4,0,-,0,0,0,0.00%,0,1,21:57,0,0,0,0,162,104.3,0,0,0,0,11.5,-,0,0,0,0.00%,0,43,1,0.60%,-,1,1,50.90%,25.50%
,,"#3 Aram Soqui Urbano
Veritas Academy",4,1:40:21,0,25.00%,14,24,8,5,17.20%,8,0,8,4.10%,6,174,168,6,0.97,0.97,0.01,0.68,0,1,3,0,2,13.60%,33.30%,0,3,19,0,16,86.40%,15.80%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,6,-,-,174,96.6,28,13.00%,3,3,4,1,2,0,75.00%,0.18,4,0,-,0,0,0,0.00%,0,0,25:05:00,0,0,0,0,179,97.2,0,0,0,0,3.5,-,0,0,0,0.00%,0,22,1,0.60%,-,0,0,29.50%,14.40%
,,"#3 Wade DeCambra
Kalani High School",3,25:07:00,0,40.00%,6,6,1,3,33.30%,2,0,2,4.50%,1,29,42,-13,0.64,0.91,-0.27,0.86,0,2,3,1,1,60.00%,66.70%,0,0,2,0,2,40.00%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,1,-,-,46,91.3,6,12.00%,0,2,2,0,1,0,100.00%,0.4,3,0,-,0,0,0,0.00%,0,0,8:22,0,0,0,0,45,64.4,0,0,0,0,2,-,0,0,0,0.00%,0,5,1,2.20%,-,0,0,51.00%,20.00%
,,"#3 Nahiku Kahale-a
Kamehameha Schools Kapalama",4,1:36:53,0,37.80%,30,39,11,16,29.10%,7,2,5,3.70%,5,179,187,-8,0.93,0.99,-0.06,0.69,0,8,12,1,4,32.40%,66.70%,0,4,25,0,21,67.60%,16.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,4,-,-,189,98.9,42,18.30%,3,2,4,2,2,0,50.00%,0.11,4,0,-,0,0,0,0.00%,0,0,24:13:00,0,0,1,0,192,93.2,0,0,0,0,7.5,-,0,0,0,0.00%,0,37,3,1.60%,-,0,0,38.70%,24.90%
,,"#3 Justus Daley
Kahuku High School",4,1:18:49,0,50.00%,27,27,1,5,15.60%,6,1,5,3.80%,5,145,172,-27,0.98,1.15,-0.17,0.76,0,2,5,1,3,20.00%,40.00%,0,7,20,0,13,80.00%,35.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,5,-,-,149,115.4,26,13.50%,3,2,4,2,2,0,50.00%,0.16,4,0,-,0,0,0,0.00%,0,0,19:42,0,0,0,0,148,98,0,0,0,0,6.8,-,0,0,0,0.00%,0,25,3,2.00%,-,0,0,50.40%,17.40%
,,"#3 Ethan Blas
University Laboratory School",2,5:01,0,0.00%,0,3,0,1,25.00%,1,0,1,8.30%,0,5,6,-1,0.45,0.6,-0.15,0.38,0,0,1,0,1,50.00%,0.00%,0,0,1,0,1,50.00%,0.00%,0,-,-,0,0,0,0.00%,0,1,11.10%,-,0,0,0,0,-,-,10,60,1,9.10%,1,0,2,2,1,0,0.00%,1,2,0,-,0,0,0,0.00%,0,0,2:30,0,0,0,0,11,45.5,0,0,0,0,0,-,0,0,0,0.00%,0,2,0,0.00%,-,0,0,0.00%,45.50%
,,"#3 Aaron Bryant
St. Paul VI Catholic High School",4,42:17:00,0,61.10%,16,13,3,1,7.10%,3,1,2,3.80%,2,79,75,4,1,1,0,1.53,0,1,1,2,0,11.10%,100.00%,0,3,8,0,5,88.90%,37.50%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,2,-,-,75,100,11,12.80%,3,5,8,3,4,0,62.50%,0.89,4,0,-,0,0,0,0.00%,0,0,10:34,0,0,0,0,79,100,0,0,0,0,4,-,0,0,0,0.00%,0,9,2,2.70%,-,0,1,63.90%,20.90%
,,"#3 AJ Dybansta
Utah Prep",4,1:49:05,0,60.90%,78,62,19,6,8.80%,36,4,32,21.70%,5,252,139,113,1.37,0.76,0.61,2.5,0,19,34,5,15,73.90%,55.90%,0,6,12,2,6,26.10%,50.00%,0,-,-,0,0,0,0.00%,0,4,2.40%,-,0,0,0,4,-,-,184,75.5,41,18.10%,5,22,30,8,16,0,73.30%,0.65,4,0,-,0,0,0,0.00%,0,0,27:16:00,0,0,1,0,184,137,0,0,0,0,19.5,-,0,0,0,0.00%,0,46,10,5.40%,-,0,0,65.90%,37.00%
,,"#3 Reimel Camacho
Kapa‘a High School",3,1:14:44,0,26.70%,8,15,7,13,46.40%,8,1,7,6.00%,5,73,152,-79,0.56,1.16,-0.6,0.59,0,4,14,0,10,93.30%,28.60%,0,0,1,0,1,6.70%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,5,-,-,131,116,22,14.00%,5,0,0,0,0,0,-,0,3,0,-,0,0,0,0.00%,0,0,24:54:00,0,0,0,0,131,55.7,0,0,0,0,2.7,-,0,0,0,0.00%,0,15,2,1.50%,-,0,0,26.70%,17.80%
,,"#3 Chaysen Matsumoto
Leilehua",4,1:23:02,0,47.80%,22,23,5,8,25.80%,3,1,2,1.90%,6,131,175,-44,0.85,1.08,-0.24,0.78,0,2,12,0,10,52.20%,16.70%,0,6,11,0,5,47.80%,54.50%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,6,-,-,162,108,34,17.80%,2,0,0,0,0,0,-,0,4,0,-,0,0,0,0.00%,0,0,20:45,0,0,0,0,155,84.5,0,0,0,0,5.5,-,0,0,0,0.00%,0,23,5,3.10%,-,0,0,47.80%,16.10%
,,"#3 Colben Landrew
Wheeler High School (GA)",4,1:46:58,0,68.90%,77,55,15,10,15.40%,24,5,19,11.70%,7,234,171,63,1.13,0.83,0.3,2.09,0,16,24,6,8,53.30%,66.70%,0,10,21,0,11,46.70%,47.60%,0,-,-,0,0,0,0.00%,0,2,1.20%,-,0,0,0,6,-,-,206,83,55,21.90%,5,15,19,4,10,0,78.90%,0.42,4,0,-,0,0,0,0.00%,0,0,26:44:00,0,0,1,0,207,113,0,0,0,0,19.2,-,0,0,0,0.00%,0,45,12,5.80%,-,0,0,72.20%,29.50%
